clip,naive,lr,avg_reward
True,False,0.0001,-1000000.0
True,True,0.0001,-1000000.0
True,False,0.0001,-509968.0
True,False,0.0001,-515380.0
False,False,0.0001,-1000000.0
True,True,0.0001,-1000000.0
True,True,0.0001,-1000000.0
True,False,0.0101999999999999,-661012.0
False,False,0.0001,-1000000.0
False,False,0.0001,-1000000.0
True,True,0.0101999999999999,-815076.5
True,False,0.0101999999999999,-632568.0
True,False,0.0101999999999999,-692539.0
False,False,0.0101999999999999,-904572.5
True,True,0.0101999999999999,-843073.0
True,True,0.0101999999999999,-804701.0
True,False,0.0203,-553756.0
False,False,0.0101999999999999,-900928.5
False,False,0.0101999999999999,-954469.5
True,True,0.0203,-761959.0
True,False,0.0203,-570491.0
True,False,0.0203,-510460.0
False,False,0.0203,-940493.0
True,True,0.0203,-765453.0
True,True,0.0203,-768365.0
True,False,0.0304,-603988.0
False,False,0.0203,-918647.5
False,False,0.0203,-920465.5
True,True,0.0304,-780256.0
True,False,0.0304,-558676.0
True,False,0.0304,-585245.0
False,False,0.0304,-962050.0
True,True,0.0304,-738399.0
True,True,0.0304,-798617.5
True,False,0.0405,-533584.0
False,False,0.0304,-976177.0
False,False,0.0304,-955036.0
True,True,0.0405,-763180.0
True,False,0.0405,-560645.0
True,False,0.0405,-570488.0
False,False,0.0405,-990184.0
True,True,0.0405,-745284.0
True,True,0.0405,-756807.0
True,False,0.0506,-562367.0
False,False,0.0405,-976154.0
False,False,0.0405,-982801.0
True,True,0.0506,-810909.5
True,False,0.0506,-540964.0
True,False,0.0506,-590432.5
False,False,0.0506,-987238.0
True,True,0.0506,-792780.0
True,True,0.0506,-780465.5
True,False,0.0607,-582324.0
False,False,0.0506,-986734.0
False,False,0.0506,-989184.0
True,True,0.0607,-832281.5
True,False,0.0607,-535552.0
True,False,0.0607,-513415.0
False,False,0.0607,-989431.0
True,True,0.0607,-802807.0
True,True,0.0607,-793906.5
True,False,0.0708,-529157.0
False,False,0.0607,-982423.5
False,False,0.0607,-992256.5
True,True,0.0708,-829391.0
True,False,0.0708,-527188.0
True,False,0.0708,-585290.5
False,False,0.0708,-980343.5
True,True,0.0708,-814334.0
True,False,0.0001,-1000000.0
True,False,0.0001,-512428.0
True,True,0.0708,-811656.5
True,False,0.0809,-560155.0
False,False,0.0708,-993737.5
True,True,0.0001,-1000000.0
True,True,0.0001,-1000000.0
False,False,0.0708,-983032.5
True,True,0.0809,-761440.0
True,False,0.0809,-528664.0
False,False,0.0001,-1000000.0
False,False,0.0001,-1000000.0
True,False,0.0809,-587963.5
False,False,0.0809,-986007.0
True,True,0.0809,-883186.5
True,False,0.0101999999999999,-671344.0
True,False,0.0101999999999999,-581308.0
True,True,0.0809,-801544.0
True,False,0.091,-522760.0
False,False,0.0809,-986481.0
True,True,0.0101999999999999,-799299.0
True,True,0.0101999999999999,-824897.0
False,False,0.0809,-992385.0
True,True,0.091,-783627.0
True,False,0.091,-524236.0
False,False,0.0101999999999999,-917185.0
False,False,0.0101999999999999,-888390.5
True,False,0.091,-530141.0
False,False,0.091,-986227.0
True,True,0.091,-781380.0
True,False,0.0203,-647300.0
True,False,0.0203,-620241.0
True,True,0.091,-779643.5
True,False,0.1011,-519808.0
False,False,0.091,-988693.0
True,True,0.0203,-811732.5
True,True,0.0203,-746665.0
False,False,0.091,-986731.0
True,False,0.1011,-558433.0
True,True,0.1011,-808702.0
True,False,0.0001,-1000000.0
True,False,0.0001,-513904.0
True,False,0.0001,-512920.0
False,False,0.0203,-942703.0
True,False,0.0001,-512428.0
True,False,0.0001,-513412.0
True,False,0.1011,-530140.0
False,False,0.0203,-904112.0
True,True,0.1011,-801535.5
False,False,0.1011,-977519.0
True,True,0.0001,-1000000.0
True,True,0.0001,-1000000.0
True,True,0.0001,-1000000.0
True,False,0.0304,-567533.0
True,True,0.1011,-756783.0
True,True,0.0001,-1000000.0
True,False,0.0304,-559168.0
True,True,0.0001,-1000000.0
False,False,0.1011,-994105.5
True,False,0.1112,-558690.0
False,False,0.0001,-1000000.0
True,True,0.0304,-745516.5
False,False,0.0001,-1000000.0
False,False,0.0001,-1000000.0
False,False,0.0001,-1000000.0
True,True,0.0304,-728553.5
False,False,0.0001,-1000000.0
True,False,0.1112,-590678.0
False,False,0.1011,-986971.0
True,True,0.1112,-787006.0
False,False,0.0304,-969761.0
True,False,0.0101999999999999,-578401.0
False,False,0.0304,-967552.5
True,False,0.0101999999999999,-600064.0
True,False,0.0101999999999999,-561628.0
True,False,0.0101999999999999,-511937.0
True,True,0.1112,-803969.0
False,False,0.1112,-978009.0
True,False,0.0101999999999999,-674296.0
True,False,0.1112,-564834.5
True,False,0.0405,-561669.0
True,True,0.0101999999999999,-910032.5
True,False,0.0405,-576405.0
True,True,0.0101999999999999,-864071.5
True,True,0.0101999999999999,-781512.0
True,True,0.0101999999999999,-852436.0
False,False,0.1112,-990660.5
True,False,0.1213,-529156.0
True,True,0.0101999999999999,-821479.5
True,True,0.1112,-791192.5
False,False,0.0101999999999999,-940245.0
True,True,0.0405,-802584.5
True,True,0.0405,-754089.5
False,False,0.0101999999999999,-932146.5
False,False,0.0101999999999999,-926462.0
False,False,0.0101999999999999,-912705.5
True,False,0.1213,-590425.0
False,False,0.0101999999999999,-943969.0
False,False,0.1112,-992869.5
False,False,0.0405,-982227.5
True,False,0.0203,-646304.0
False,False,0.0405,-980106.5
True,False,0.0203,-511444.0
True,False,0.0203,-595595.0
True,False,0.0203,-510952.0
True,True,0.1213,-793392.0
False,False,0.1213,-983789.0
True,False,0.1213,-555244.0
True,False,0.0203,-555232.0
True,False,0.0506,-552293.0
True,True,0.0203,-725515.0
True,True,0.0203,-742477.5
True,False,0.0506,-544910.0
True,True,0.0203,-698004.0
True,True,0.0203,-724109.0
False,False,0.1213,-981072.0
True,True,0.1213,-767183.0
True,False,0.1314,-565473.5
True,True,0.0203,-761430.0
False,False,0.0203,-960421.0
False,False,0.0203,-920600.0
True,True,0.0506,-788783.0
True,False,0.1314,-579614.0
False,False,0.0203,-950097.5
True,True,0.0506,-828140.0
False,False,0.0203,-944977.0
False,False,0.1213,-971231.0
True,True,0.1314,-786749.5
False,False,0.0203,-936584.0
True,False,0.0304,-590722.0
True,True,0.1314,-772217.0
False,False,0.0506,-981078.5
False,False,0.0506,-984271.0
True,False,0.0304,-520300.0
True,False,0.0304,-558788.5
False,False,0.1314,-976644.0
True,False,0.1314,-593378.0
True,False,0.0304,-614799.0
True,False,0.0304,-511445.0
False,False,0.1314,-981070.5
True,True,0.0304,-799004.0
True,False,0.0607,-572464.0
True,False,0.0607,-536536.0
True,False,0.1415,-585387.0
True,True,0.0304,-739628.0
True,True,0.1314,-752060.0
True,True,0.0304,-793125.5
True,True,0.0304,-766921.0
True,True,0.0304,-803076.0
False,False,0.0304,-975177.5
True,False,0.1415,-559421.0
True,True,0.0607,-797703.0
False,False,0.0304,-973449.5
True,True,0.1415,-774825.0
True,True,0.0607,-793483.0
False,False,0.1314,-976164.5
False,False,0.0304,-962393.0
False,False,0.0304,-967107.5
False,False,0.0304,-956492.0
True,True,0.1415,-769773.5
False,False,0.0607,-993610.0
True,False,0.0405,-585296.0
True,False,0.0405,-510461.0
False,False,0.1415,-945534.5
True,False,0.1415,-580333.0
True,False,0.0405,-512920.0
False,False,0.0607,-981806.0
True,False,0.0405,-576392.0
True,False,0.0405,-600013.0
False,False,0.1415,-958450.5
True,True,0.0405,-786621.0
True,False,0.0708,-519316.0
True,True,0.0405,-829209.0
True,False,0.1515999999999999,-573218.0
